Disponibilité alimentaire (Kcal/personne/jour),Exportations - Quantité,Importations - Quantité,Population totale millions,Production,"Valeur US $, aux prix du 2015",Zone
Viande de Volailles,Viande de Volailles,Viande de Volailles,Population-Estimations,Viande de Volailles,Produit Intérieur Brut Par Habitant,
2017,2017,2017,2017,2017,2017,
5.0,0.0,29.0,36.296113,28.0,538.8870634439561,Afghanistan
143.0,63.0,514.0,57.009756,1667.0,6188.896776456997,Afrique du Sud
85.0,0.0,38.0,2.884169,13.0,4234.045744198762,Albanie
22.0,0.0,2.0,41.389189,275.0,4192.332103535539,Algérie
71.0,646.0,842.0,82.658409,1514.0,42621.68441992393,Allemagne
35.0,0.0,277.0,29.816766,42.0,3791.807645570951,Angola
233.0,0.0,7.0,0.095426,0.0,15242.259887242471,Antigua-et-Barbuda
151.0,10.0,722.0,33.101178999999995,616.0,20688.905150840703,Arabie saoudite
182.0,207.0,8.0,43.93714,2161.0,14777.602326733146,Argentine
54.0,0.0,35.0,2.9447910000000004,11.0,3860.179874564951,Arménie
192.0,42.0,16.0,24.584619999999997,1269.0,53377.214795835775,Australie
65.0,78.0,110.0,8.819901,148.0,45148.89388815135,Autriche
44.0,0.0,27.0,9.84532,104.0,5226.200643249788,Azerbaïdjan
182.0,0.0,24.0,0.381755,6.0,31210.305347670626,Bahamas
7.0,0.0,0.0,159.685424,249.0,1665.6432805789461,Bangladesh
199.0,0.0,2.0,0.28623200000000004,15.0,17036.747543950358,Barbade
44.0,656.0,338.0,11.419748,463.0,41645.69670075031,Belgique
110.0,0.0,0.0,0.375769,20.0,5734.037224997272,Belize
155.0,1.0,1.0,11.192855,533.0,3203.0038644295846,Bolivie (État plurinational de)
56.0,8.0,10.0,3.351525,61.0,5217.222397266915,Bosnie-Herzégovine
12.0,0.0,3.0,2.2050799999999997,5.0,6848.641670596986,Botswana
81.0,45.0,108.0,7.102444,107.0,7566.213549167019,Bulgarie
8.0,0.0,0.0,19.193234,46.0,693.2017929860075,Burkina Faso
95.0,152.0,21.0,9.450231,463.0,5975.018874353442,Bélarus
37.0,0.0,123.0,11.175198,18.0,1111.9751414695293,Bénin
62.0,0.0,12.0,0.537498,1.0,3547.9995460448226,Cabo Verde
11.0,0.0,10.0,16.009408999999998,28.0,1291.382904203397,Cambodge
11.0,0.0,0.0,24.566073,81.0,1418.102201723491,Cameroun
154.0,163.0,182.0,36.732095,1417.0,44089.23266350585,Canada
153.0,115.0,155.0,18.470439,712.0,13590.988730208308,Chili
210.0,663.0,907.0,7.306322,24.0,44908.52548505253,Chine - RAS de Hong-Kong
142.0,0.0,23.0,0.622585,3.0,78951.31339174569,Chine - RAS de Macao
